subject_id,data_id,condition,headcase,measure,val
sid000678,fnl_f17,view,no_case,fd_median_filter,0.0457984
sid000678,fnl_f17,view,no_case,fd_median,0.04643839999999996
sid000678,fnl_f17,view,no_case,fd_mean_filter,0.06191837761397157
sid000679,fnl_f17,view,no_case,perc_spikes,0.02641232575201761
sid000679,fnl_f17,view,no_case,fd_median_filter,0.07934570000000002
sid000679,fnl_f17,view,no_case,fd_mean_filter,0.09587429168259232
sid000679,fnl_f17,view,no_case,fd_mean,0.10358070902993412
sid000679,fnl_f17,view,no_case,fd_median,0.08101237
sid000680,fnl_f17,view,no_case,fd_mean_filter,0.13199646383241712
sid000680,fnl_f17,view,no_case,perc_spikes,0.09244314013206163
sid000680,fnl_f17,view,no_case,fd_median,0.13147829999999994
sid000680,fnl_f17,view,no_case,fd_median_filter,0.12401579049999994
sid000680,fnl_f17,view,no_case,fd_mean,0.17128946750623605
sid000681,fnl_f17,view,no_case,fd_mean,0.08927172083118119
sid000681,fnl_f17,view,no_case,perc_spikes,0.016140865737344093
sid000681,fnl_f17,view,no_case,fd_mean_filter,0.08462489270089486
sid000681,fnl_f17,view,no_case,fd_median_filter,0.07206072
sid000681,fnl_f17,view,no_case,fd_median,0.0732616350000001
sid000682,fnl_f17,view,no_case,fd_median_filter,0.05817360000000005
sid000682,fnl_f17,view,no_case,fd_mean_filter,0.07361066699563218
sid000682,fnl_f17,view,no_case,fd_median,0.059765499999999985
sid000682,fnl_f17,view,no_case,fd_mean,0.08843037032633898
sid000682,fnl_f17,view,no_case,perc_spikes,0.0425531914893617
sid000683,fnl_f17,view,no_case,fd_median_filter,0.12519285749999998
sid000683,fnl_f17,view,no_case,fd_median,0.14110399999999992
sid000683,fnl_f17,view,no_case,fd_mean,0.19989746940440195
sid000683,fnl_f17,view,no_case,fd_mean_filter,0.13863039948810343
sid000683,fnl_f17,view,no_case,perc_spikes,0.14893617021276595
sid000688,fnl_f17,view,no_case,perc_spikes,0.008070432868672046
sid000688,fnl_f17,view,no_case,fd_mean,0.0740514365913425
sid000688,fnl_f17,view,no_case,fd_median_filter,0.06172867499999998
sid000688,fnl_f17,view,no_case,fd_mean_filter,0.07187179079437869
sid000688,fnl_f17,view,no_case,fd_median,0.0621105000000001
sid000692,fnl_f17,view,no_case,fd_mean,0.10686002161408646
sid000692,fnl_f17,view,no_case,fd_median_filter,0.09312233000000002
sid000692,fnl_f17,view,no_case,fd_median,0.09429809999999998
sid000692,fnl_f17,view,no_case,perc_spikes,0.018341892883345562
sid000692,fnl_f17,view,no_case,fd_mean_filter,0.10151329882660685
sid000694,fnl_f17,view,no_case,fd_median_filter,0.055061140000000015
sid000694,fnl_f17,view,no_case,fd_mean_filter,0.06494321946276571
sid000694,fnl_f17,view,no_case,perc_spikes,0.007336757153338224
sid000694,fnl_f17,view,no_case,fd_median,0.05524635000000002
sid000694,fnl_f17,view,no_case,fd_mean,0.06735196464278938
sid000695,fnl_f17,view,no_case,perc_spikes,0.13866471019809246
sid000695,fnl_f17,view,no_case,fd_median,0.10971750000000006
sid000695,fnl_f17,view,no_case,fd_mean,0.1760389893791636
sid000695,fnl_f17,view,no_case,fd_median_filter,0.09875074499999992
sid000695,fnl_f17,view,no_case,fd_mean_filter,0.11378162654625212
sid000697,fnl_f17,view,no_case,perc_spikes,0.020542920029347028
sid000697,fnl_f17,view,no_case,fd_mean,0.12541573830608949
sid000697,fnl_f17,view,no_case,fd_median_filter,0.11284039999999998
sid000697,fnl_f17,view,no_case,fd_median,0.11425491999999995
sid000697,fnl_f17,view,no_case,fd_mean_filter,0.11951393283041198
sid000698,fnl_f17,view,no_case,fd_mean,0.07610007564622151
sid000698,fnl_f17,view,no_case,fd_median_filter,0.06695348999999985
sid000698,fnl_f17,view,no_case,perc_spikes,0.00586940572267058
sid000698,fnl_f17,view,no_case,fd_mean_filter,0.07454773199542435
sid000698,fnl_f17,view,no_case,fd_median,0.0671720000000001
sid000699,fnl_f17,view,no_case,fd_median_filter,0.09945994500000006
sid000699,fnl_f17,view,no_case,fd_mean,0.12457170434702852
sid000699,fnl_f17,view,no_case,fd_median,0.10273206
sid000699,fnl_f17,view,no_case,perc_spikes,0.03741746148202495
sid000699,fnl_f17,view,no_case,fd_mean_filter,0.11499304806173782
sid000704,fnl_f17,view,no_case,fd_mean,0.04649669265077033
sid000704,fnl_f17,view,no_case,perc_spikes,0.0
sid000704,fnl_f17,view,no_case,fd_median,0.039819650000000005
sid000704,fnl_f17,view,no_case,fd_median_filter,0.039819650000000005
sid000704,fnl_f17,view,no_case,fd_mean_filter,0.04649669265077035
sid000705,fnl_f17,view,no_case,fd_mean_filter,0.054708733428613356
sid000705,fnl_f17,view,no_case,perc_spikes,0.0
sid000705,fnl_f17,view,no_case,fd_median,0.04771677000000001
sid000705,fnl_f17,view,no_case,fd_mean,0.05470873342861329
sid000705,fnl_f17,view,no_case,fd_median_filter,0.04771677000000001
sid000706,fnl_f17,view,no_case,fd_median,0.11223585500000004
sid000706,fnl_f17,view,no_case,perc_spikes,0.014673514306676448
sid000706,fnl_f17,view,no_case,fd_median_filter,0.11156858000000017
sid000706,fnl_f17,view,no_case,fd_mean,0.12008803660465174
