comparison,condition,measure,mean_diff,ci_lower,ci_upper,bound,dof,pval
fnl_no_case__fnl_has_case,view,fd_mean,0.008257467023168902,-0.015217153668149425,0.030608765410640587,0.05,48.09,0.0005323711854420976
sherlock_no_case__fnl_has_case,recall,fd_mean,-0.0909519602762654,-0.16791029027908466,-0.013691249398370393,0.15,38.12,0.07615881492697262
fnl_no_case__fnl_has_case,view,fd_median,0.00990548414977481,-0.004796334555039367,0.024169074640343447,0.05,48.73,1.389297359461288e-06
sherlock_no_case__fnl_has_case,recall,fd_median,-0.06769968047671562,-0.1298596034916361,-0.004545994670036811,0.15,37.34,0.0084263966684905
fnl_no_case__fnl_has_case,view,fd_mean_filter,0.009420398930348977,-0.003509454409788948,0.02214394839202029,0.05,47.69,1.3196851552830355e-07
sherlock_no_case__fnl_has_case,recall,fd_mean_filter,0.001731077565197775,-0.01645360242470624,0.01858039027041649,0.15,23.7,1.776874855735766e-14
fnl_no_case__fnl_has_case,view,fd_median_filter,0.009676328906531528,-0.0031742055672719857,0.022262135660402596,0.05,48.82,1.0040726399653149e-07
sherlock_no_case__fnl_has_case,recall,fd_median_filter,-0.002964630102941179,-0.02395904496090688,0.016972593737040426,0.15,26.13,1.3589366974942031e-13
