comparison,condition,measure,mean_diff,ci_lower,ci_upper,bound,dof,pval
fnl_no_case__fnl_has_case,view,fd_mean,-0.016146010804899094,-0.06252910525156691,0.020381111812359333,0.05,31.85,0.001976810903413648
sherlock_no_case__fnl_has_case,recall,fd_mean,-0.17966928732524695,-0.3425513774681745,-0.05107754446234402,0.05,32.24,0.002536266047633593
fnl_no_case__fnl_has_case,view,fd_median,0.006506100992723529,-0.008691612707796191,0.021285603881782758,0.05,51.83,2.618418690330761e-07
sherlock_no_case__fnl_has_case,recall,fd_median,-0.1062690608020362,-0.1879141761833993,-0.029379551621945745,0.05,40.08,0.00029922390255738836
fnl_no_case__fnl_has_case,view,fd_mean_filter,0.0077661927467667785,-0.005211969033169204,0.02061314863826518,0.05,52.97,1.7371840741716792e-08
sherlock_no_case__fnl_has_case,recall,fd_mean_filter,0.0017411094072816158,-0.016274193531375502,0.01796236356377491,0.05,22.68,1.2553264284092898e-05
fnl_no_case__fnl_has_case,view,fd_median_filter,0.008518876403326409,-0.004606034721569645,0.02111021064915541,0.05,54.49,1.399603461962706e-08
sherlock_no_case__fnl_has_case,recall,fd_median_filter,-0.002374357429864277,-0.02355697045082014,0.016751130163376697,0.05,24.88,2.4731010515966757e-05
